"required",,,,,,,"optional","optional",,"optional","optional",,"optional","optional","optional",,,"optional","optional","optional","optional","optional",,"optional","optional","optional","optional","optional","optional","optional",,"optional",,"repeated","optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",
111020027,11,1,2,0,27,,1,27,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020027,UITexture/Bldg/111020027.png,"SpDtl",1,3,7,,102,270,1,3,0,"BLDG_SPACEPORT",27,,396509,396509.207917588,4,,220000109,"9级原石",22000,22113.9992096067,,220000209,"9级金属",13000,13268.399525764,,220000309,"9级气体",8800,8845.59968384269,,220000409,"9级水晶",4400,4422.79984192135,,0,,0,
111020028,11,1,2,0,28,,1,28,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020028,UITexture/Bldg/111020028.png,"SpDtl",1,3,7,,102,280,1,3,0,"BLDG_SPACEPORT",28,,408404,408404.484155115,4,,220000110,"10级原石",9100,9110.96767435797,,220000210,"10级金属",5500,5466.58060461478,,220000310,"10级气体",3600,3644.38706974319,,220000410,"10级水晶",1800,1822.19353487159,,0,,0,
111020029,11,1,2,0,29,,1,29,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020029,UITexture/Bldg/111020029.png,"SpDtl",1,3,7,,102,290,1,3,0,"BLDG_SPACEPORT",29,,420657,420656.618679769,4,,220000110,"10级原石",11000,11261.1560455065,,220000210,"10级金属",6800,6756.69362730387,,220000310,"10级气体",4500,4504.46241820258,,220000410,"10级水晶",2300,2252.23120910129,,0,,0,
111020030,11,1,2,0,30,,1,30,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020030,UITexture/Bldg/111020030.png,"SpDtl",1,3,7,,102,300,1,3,0,"BLDG_SPACEPORT",30,,429070,429069.751053364,4,,220000110,"10级原石",14000,13783.6549996999,,220000210,"10级金属",8300,8270.19299981994,,220000310,"10级气体",5500,5513.46199987996,,220000410,"10级水晶",2800,2756.73099993998,,0,,0,
111030001,11,1,3,0,1,,1,1,,"BuildingAttribute","HP","舰体厂",1,12,"jiantichang_lv1","UITexture/Bldg/",111030001,UITexture/Bldg/111030001.png,"HPDtl",3,2,3,,103,10,1,1,0,"BLDG_FUNC_HULL_FACT",1,,14,14.0350877192982,2,,220000101,"1级原石",30,28.0701754385965,,220000201,"1级金属",20,16.8421052631579,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111030002,11,1,3,0,2,,1,2,,"BuildingAttribute","HP","舰体厂",1,12,"jiantichang_lv2","UITexture/Bldg/",111030002,UITexture/Bldg/111030002.png,"HPDtl",3,2,3,,103,20,1,1,0,"BLDG_FUNC_HULL_FACT",2,,56,56.140350877193,2,,220000101,"1级原石",140,140.350877192982,,220000201,"1级金属",80,84.2105263157895,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111030003,11,1,3,0,3,,1,3,,"BuildingAttribute","HP","舰体厂",1,12,"jiantichang_lv2","UITexture/Bldg/",111030003,UITexture/Bldg/111030003.png,"HPDtl",3,2,3,,103,30,1,1,0,"BLDG_FUNC_HULL_FACT",3,,225,224.561403508772,2,,220000101,"1级原石",700,701.754385964912,,220000201,"1级金属",420,421.052631578947,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111030004,11,1,3,0,4,,1,4,,"BuildingAttribute","HP","舰体厂",1,12,"jiantichang_lv2","UITexture/Bldg/",111030004,UITexture/Bldg/111030004.png,"HPDtl",3,2,3,,103,40,1,1,0,"BLDG_FUNC_HULL_FACT",4,,898,898.245614035088,2,,220000102,"2级原石",1200,1169.59064327485,,220000202,"2级金属",700,701.754385964912,,220000302,"2级气体",0,0,,220000402,"2级水晶",0,0,,0,,0,
111030005,11,1,3,0,5,,1,5,,"BuildingAttribute","HP","舰体厂",1,12,"jiantichang_lv2","UITexture/Bldg/",111030005,UITexture/Bldg/111030005.png,"HPDtl",3,2,3,,103,50,1,1,0,"BLDG_FUNC_HULL_FACT",5,,2695,2694.73684210526,2,,220000102,"2级原石",4400,4385.9649122807,,220000202,"2级金属",2600,2631.57894736842,,220000302,"2级气体",0,0,,220000402,"2级水晶",0,0,,0,,0,
111030006,11,1,3,0,6,,1,6,,"BuildingAttribute","HP","舰体厂",1,12,"jiantichang_lv2","UITexture/Bldg/",111030006,UITexture/Bldg/111030006.png,"HPDtl",3,2,3,,103,60,1,1,0,"BLDG_FUNC_HULL_FACT",6,,5389,5389.47368421053,3,,220000102,"2级原石",8800,8771.9298245614,,220000202,"2级金属",5300,5263.15789473684,,220000302,"2级气体",1800,1754.38596491228,,220000402,"2级水晶",0,0,,0,,0,
111030007,11,1,3,0,7,,1,7,,"BuildingAttribute","HP","舰体厂",1,12,"jiantichang_lv2","UITexture/Bldg/",111030007,UITexture/Bldg/111030007.png,"HPDtl",3,2,3,,103,70,1,1,0,"BLDG_FUNC_HULL_FACT",7,,10779,10778.9473684211,3,,220000103,"3级原石",7300,7309.94152046784,,220000203,"3级金属",4400,4385.9649122807,,220000303,"3级气体",1500,1461.98830409357,,220000403,"3级水晶",0,0,,0,,0,
111030008,11,1,3,0,8,,1,8,,"BuildingAttribute","HP","舰体厂",1,12,"jiantichang_lv2","UITexture/Bldg/",111030008,UITexture/Bldg/111030008.png,"HPDtl",3,2,3,,103,80,1,1,0,"BLDG_FUNC_HULL_FACT",8,,11857,11856.8421052632,3,,220000103,"3级原石",10000,10051.1695906433,,220000203,"3级金属",6000,6030.70175438597,,220000303,"3级气体",2000,2010.23391812866,,220000403,"3级水晶",0,0,,0,,0,
111030009,11,1,3,0,9,,1,9,,"BuildingAttribute","HP","舰体厂",1,12,"jiantichang_lv2","UITexture/Bldg/",111030009,UITexture/Bldg/111030009.png,"HPDtl",3,2,3,,103,90,1,1,0,"BLDG_FUNC_HULL_FACT",9,,13043,13042.5263157895,3,,220000103,"3级原石",14000,13820.3581871345,,220000203,"3级金属",8300,8292.2149122807,,220000303,"3级气体",2800,2764.0716374269,,220000403,"3级水晶",0,0,,0,,0,
111030010,11,1,3,0,10,,1,10,,"BuildingAttribute","HP","舰体厂",1,12,"jiantichang_lv2","UITexture/Bldg/",111030010,UITexture/Bldg/111030010.png,"HPDtl",3,2,3,,103,100,1,1,0,"BLDG_FUNC_HULL_FACT",10,,15651,15651.0315789474,3,,220000104,"4级原石",8300,8292.2149122807,,220000204,"4级金属",5000,4975.32894736842,,220000304,"4级气体",1700,1658.44298245614,,220000404,"4级水晶",0,0,,0,,0,
111030011,11,1,3,0,11,,1,11,,"BuildingAttribute","HP","舰体厂",1,12,"jiantichang_lv2","UITexture/Bldg/",111030011,UITexture/Bldg/111030011.png,"HPDtl",3,2,3,,103,110,1,1,0,"BLDG_FUNC_HULL_FACT",11,,23477,23476.5473684211,4,,220000104,"4级原石",16000,15547.9029605263,,220000204,"4级金属",7000,6996.55633223684,,220000304,"4级气体",3100,3109.58059210526,,220000404,"4级水晶",780,777.395148026316,,0,,0,
111030012,11,1,3,0,12,,1,12,,"BuildingAttribute","HP","舰体厂",1,12,"jiantichang_lv2","UITexture/Bldg/",111030012,UITexture/Bldg/111030012.png,"HPDtl",3,2,3,,103,120,1,1,0,"BLDG_FUNC_HULL_FACT",12,,35215,35214.8210526316,4,,220000104,"4级原石",29000,29152.3180509868,,220000204,"4级金属",13000,13118.5431229441,,220000304,"4级气体",5800,5830.46361019737,,220000404,"4级水晶",1500,1457.61590254934,,0,,0,
111030013,11,1,3,0,13,,1,13,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030013,UITexture/Bldg/111030013.png,"HPDtl",3,2,3,,103,130,1,1,0,"BLDG_FUNC_HULL_FACT",13,,45779,45779.2673684211,4,,220000105,"5级原石",16000,15790.8389442845,,220000205,"5级金属",7100,7105.87752492804,,220000305,"5级气体",3200,3158.16778885691,,220000405,"5级水晶",790,789.541947214227,,0,,0,
111030014,11,1,3,0,14,,1,14,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030014,UITexture/Bldg/111030014.png,"HPDtl",3,2,3,,103,140,1,1,0,"BLDG_FUNC_HULL_FACT",14,,50357,50357.1941052632,4,,220000105,"5级原石",22000,21712.4035483912,,220000205,"5级金属",9800,9770.58159677606,,220000305,"5级气体",4300,4342.48070967825,,220000405,"5级水晶",1100,1085.62017741956,,0,,0,
111030015,11,1,3,0,15,,1,15,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030015,UITexture/Bldg/111030015.png,"HPDtl",3,2,3,,103,150,1,1,0,"BLDG_FUNC_HULL_FACT",15,,55393,55392.9135157895,4,,220000105,"5级原石",30000,29854.554879038,,220000205,"5级金属",13000,13434.5496955671,,220000305,"5级气体",6000,5970.91097580759,,220000405,"5级水晶",1500,1492.7277439519,,0,,0,
111030016,11,1,3,0,16,,1,16,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030016,UITexture/Bldg/111030016.png,"HPDtl",3,2,3,,103,160,1,1,0,"BLDG_FUNC_HULL_FACT",16,,60932,60932.2048673684,4,,220000106,"6级原石",8600,8552.08603305775,,220000206,"6级金属",5100,5131.25161983465,,220000306,"6级气体",3400,3420.8344132231,,220000406,"6级水晶",1700,1710.41720661155,,0,,0,
111030017,11,1,3,0,17,,1,17,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030017,UITexture/Bldg/111030017.png,"HPDtl",3,2,3,,103,170,1,1,0,"BLDG_FUNC_HULL_FACT",17,,91398,91398.3073010527,4,,220000106,"6级原石",16000,16035.1613119833,,220000206,"6级金属",9600,9621.09678718997,,220000306,"6级气体",6400,6414.06452479331,,220000406,"6级水晶",3200,3207.03226239666,,0,,0,
111030018,11,1,3,0,18,,1,18,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030018,UITexture/Bldg/111030018.png,"HPDtl",3,2,3,,103,180,1,1,0,"BLDG_FUNC_HULL_FACT",18,,137097,137097.460951579,4,,220000106,"6级原石",30000,30065.9274599687,,220000206,"6级金属",18000,18039.5564759812,,220000306,"6级气体",12000,12026.3709839875,,220000406,"6级水晶",6000,6013.18549199373,,0,,0,
111030019,11,1,3,0,19,,1,19,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030019,UITexture/Bldg/111030019.png,"HPDtl",3,2,3,,103,190,1,1,0,"BLDG_FUNC_HULL_FACT",19,,164517,164516.953141895,4,,220000107,"7级原石",15000,15032.9637299843,,220000207,"7级金属",9000,9019.77823799059,,220000307,"7级气体",6000,6013.18549199373,,220000407,"7级水晶",3000,3006.59274599687,,0,,0,
111030020,11,1,3,0,20,,1,20,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030020,UITexture/Bldg/111030020.png,"HPDtl",3,2,3,,103,200,1,1,0,"BLDG_FUNC_HULL_FACT",20,,180969,180968.648456084,4,,220000107,"7级原石",21000,20670.3251287285,,220000207,"7级金属",12000,12402.1950772371,,220000307,"7级气体",8300,8268.13005149138,,220000407,"7级水晶",4100,4134.06502574569,,0,,0,
111030021,11,1,3,0,21,,1,21,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030021,UITexture/Bldg/111030021.png,"HPDtl",3,2,3,,103,210,1,1,0,"BLDG_FUNC_HULL_FACT",21,,195446,195446.140332571,4,,220000107,"7级原石",28000,27904.9389237834,,220000207,"7级金属",17000,16742.96335427,,220000307,"7级气体",11000,11161.9755695134,,220000407,"7级水晶",5600,5580.98778475668,,0,,0,
111030022,11,1,3,0,22,,1,22,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030022,UITexture/Bldg/111030022.png,"HPDtl",3,2,3,,103,220,1,1,0,"BLDG_FUNC_HULL_FACT",22,,209127,209127.370155851,4,,220000108,"8级原石",12000,12440.9519368534,,220000208,"8级金属",7500,7464.57116211206,,220000308,"8级气体",5000,4976.38077474137,,220000408,"8级水晶",2500,2488.19038737069,,0,,0,
111030023,11,1,3,0,23,,1,23,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030023,UITexture/Bldg/111030023.png,"HPDtl",3,2,3,,103,230,1,1,0,"BLDG_FUNC_HULL_FACT",23,,221675,221675.012365202,4,,220000108,"8级原石",16000,16484.2613163308,,220000208,"8级金属",9900,9890.55678979848,,220000308,"8级气体",6600,6593.70452653232,,220000408,"8级水晶",3300,3296.85226326616,,0,,0,
111030024,11,1,3,0,24,,1,24,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030024,UITexture/Bldg/111030024.png,"HPDtl",3,2,3,,103,240,1,1,0,"BLDG_FUNC_HULL_FACT",24,,232759,232758.762983462,4,,220000108,"8级原石",22000,21635.5929776842,,220000208,"8级金属",13000,12981.3557866105,,220000308,"8级气体",8700,8654.23719107367,,220000408,"8级水晶",4300,4327.11859553684,,0,,0,
111030025,11,1,3,0,25,,1,25,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030025,UITexture/Bldg/111030025.png,"HPDtl",3,2,3,,103,250,1,1,0,"BLDG_FUNC_HULL_FACT",25,,244397,244396.701132635,4,,220000109,"9级原石",9500,9465.57192773683,,220000209,"9级金属",5700,5679.3431566421,,220000309,"9级气体",3800,3786.22877109473,,220000409,"9级水晶",1900,1893.11438554737,,0,,0,
111030026,11,1,3,0,26,,1,26,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030026,UITexture/Bldg/111030026.png,"HPDtl",3,2,3,,103,260,1,1,0,"BLDG_FUNC_HULL_FACT",26,,254173,254172.569177941,4,,220000109,"9级原石",12000,11813.0337658156,,220000209,"9级金属",7100,7087.82025948934,,220000309,"9级气体",4700,4725.21350632622,,220000409,"9级水晶",2400,2362.60675316311,,0,,0,
111030027,11,1,3,0,27,,1,27,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030027,UITexture/Bldg/111030027.png,"HPDtl",3,2,3,,103,270,1,1,0,"BLDG_FUNC_HULL_FACT",27,,264339,264339.471945058,4,,220000109,"9级原石",15000,14742.6661397378,,220000209,"9级金属",8800,8845.59968384269,,220000309,"9级气体",5900,5897.06645589513,,220000409,"9级水晶",2900,2948.53322794756,,0,,0,
111030028,11,1,3,0,28,,1,28,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030028,UITexture/Bldg/111030028.png,"HPDtl",3,2,3,,103,280,1,1,0,"BLDG_FUNC_HULL_FACT",28,,272270,272269.65610341,4,,220000110,"10级原石",6100,6073.97844957198,,220000210,"10级金属",3600,3644.38706974319,,220000310,"10级气体",2400,2429.59137982879,,220000410,"10级水晶",1200,1214.7956899144,,0,,0,
111030029,11,1,3,0,29,,1,29,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030029,UITexture/Bldg/111030029.png,"HPDtl",3,2,3,,103,290,1,1,0,"BLDG_FUNC_HULL_FACT",29,,280438,280437.745786512,4,,220000110,"10级原石",7500,7507.43736367097,,220000210,"10级金属",4500,4504.46241820258,,220000310,"10级气体",3000,3002.97494546839,,220000410,"10级水晶",1500,1501.48747273419,,0,,0,
111030030,11,1,3,0,30,,1,30,,"BuildingAttribute","HP","舰体厂",0,12,"jiantichang_lv2","UITexture/Bldg/",111030030,UITexture/Bldg/111030030.png,"HPDtl",3,2,3,,103,300,1,1,0,"BLDG_FUNC_HULL_FACT",30,,286047,286046.500702243,4,,220000110,"10级原石",9200,9189.10333313327,,220000210,"10级金属",5500,5513.46199987996,,220000310,"10级气体",3700,3675.64133325331,,220000410,"10级水晶",1800,1837.82066662665,,0,,0,
111040001,11,1,4,0,1,,1,1,,"BuildingAttribute","AC","组装厂",1,12,"zuzhuangchang","UITexture/Bldg/",111040001,UITexture/Bldg/111040001.png,"ACDtl",2,2,3,,104,10,1,3,0,,1,,14,14.0350877192982,2,,220000101,"1级原石",30,28.0701754385965,,220000201,"1级金属",20,16.8421052631579,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111040002,11,1,4,0,2,,1,2,,"BuildingAttribute","AC","组装厂",1,12,"zuzhuangchang","UITexture/Bldg/",111040002,UITexture/Bldg/111040002.png,"ACDtl",2,2,3,,104,20,1,3,0,,2,,56,56.140350877193,2,,220000101,"1级原石",140,140.350877192982,,220000201,"1级金属",80,84.2105263157895,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111040003,11,1,4,0,3,,1,3,,"BuildingAttribute","AC","组装厂",1,12,"zuzhuangchang","UITexture/Bldg/",111040003,UITexture/Bldg/111040003.png,"ACDtl",2,2,3,,104,30,1,3,0,,3,,225,224.561403508772,2,,220000101,"1级原石",700,701.754385964912,,220000201,"1级金属",420,421.052631578947,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111040004,11,1,4,0,4,,1,4,,"BuildingAttribute","AC","组装厂",1,12,"zuzhuangchang","UITexture/Bldg/",111040004,UITexture/Bldg/111040004.png,"ACDtl",2,2,3,,104,40,1,3,0,,4,,898,898.245614035088,2,,220000102,"2级原石",1200,1169.59064327485,,220000202,"2级金属",700,701.754385964912,,220000302,"2级气体",0,0,,220000402,"2级水晶",0,0,,0,,0,
111040005,11,1,4,0,5,,1,5,,"BuildingAttribute","AC","组装厂",1,12,"zuzhuangchang","UITexture/Bldg/",111040005,UITexture/Bldg/111040005.png,"ACDtl",2,2,3,,104,50,1,3,0,,5,,2695,2694.73684210526,2,,220000102,"2级原石",4400,4385.9649122807,,220000202,"2级金属",2600,2631.57894736842,,220000302,"2级气体",0,0,,220000402,"2级水晶",0,0,,0,,0,
111040006,11,1,4,0,6,,1,6,,"BuildingAttribute","AC","组装厂",1,12,"zuzhuangchang","UITexture/Bldg/",111040006,UITexture/Bldg/111040006.png,"ACDtl",2,2,3,,104,60,1,3,0,,6,,5389,5389.47368421053,3,,220000102,"2级原石",8800,8771.9298245614,,220000202,"2级金属",5300,5263.15789473684,,220000302,"2级气体",1800,1754.38596491228,,220000402,"2级水晶",0,0,,0,,0,
111040007,11,1,4,0,7,,1,7,,"BuildingAttribute","AC","组装厂",1,12,"zuzhuangchang","UITexture/Bldg/",111040007,UITexture/Bldg/111040007.png,"ACDtl",2,2,3,,104,70,1,3,0,,7,,10779,10778.9473684211,3,,220000103,"3级原石",7300,7309.94152046784,,220000203,"3级金属",4400,4385.9649122807,,220000303,"3级气体",1500,1461.98830409357,,220000403,"3级水晶",0,0,,0,,0,
111040008,11,1,4,0,8,,1,8,,"BuildingAttribute","AC","组装厂",1,12,"zuzhuangchang","UITexture/Bldg/",111040008,UITexture/Bldg/111040008.png,"ACDtl",2,2,3,,104,80,1,3,0,,8,,11857,11856.8421052632,3,,220000103,"3级原石",10000,10051.1695906433,,220000203,"3级金属",6000,6030.70175438597,,220000303,"3级气体",2000,2010.23391812866,,220000403,"3级水晶",0,0,,0,,0,
111040009,11,1,4,0,9,,1,9,,"BuildingAttribute","AC","组装厂",1,12,"zuzhuangchang","UITexture/Bldg/",111040009,UITexture/Bldg/111040009.png,"ACDtl",2,2,3,,104,90,1,3,0,,9,,13043,13042.5263157895,3,,220000103,"3级原石",14000,13820.3581871345,,220000203,"3级金属",8300,8292.2149122807,,220000303,"3级气体",2800,2764.0716374269,,220000403,"3级水晶",0,0,,0,,0,
111040010,11,1,4,0,10,,1,10,,"BuildingAttribute","AC","组装厂",1,12,"zuzhuangchang","UITexture/Bldg/",111040010,UITexture/Bldg/111040010.png,"ACDtl",2,2,3,,104,100,1,3,0,,10,,15651,15651.0315789474,3,,220000104,"4级原石",8300,8292.2149122807,,220000204,"4级金属",5000,4975.32894736842,,220000304,"4级气体",1700,1658.44298245614,,220000404,"4级水晶",0,0,,0,,0,
111040011,11,1,4,0,11,,1,11,,"BuildingAttribute","AC","组装厂",1,12,"zuzhuangchang","UITexture/Bldg/",111040011,UITexture/Bldg/111040011.png,"ACDtl",2,2,3,,104,110,1,3,0,,11,,23477,23476.5473684211,4,,220000104,"4级原石",16000,15547.9029605263,,220000204,"4级金属",7000,6996.55633223684,,220000304,"4级气体",3100,3109.58059210526,,220000404,"4级水晶",780,777.395148026316,,0,,0,
111040012,11,1,4,0,12,,1,12,,"BuildingAttribute","AC","组装厂",1,12,"zuzhuangchang","UITexture/Bldg/",111040012,UITexture/Bldg/111040012.png,"ACDtl",2,2,3,,104,120,1,3,0,,12,,35215,35214.8210526316,4,,220000104,"4级原石",29000,29152.3180509868,,220000204,"4级金属",13000,13118.5431229441,,220000304,"4级气体",5800,5830.46361019737,,220000404,"4级水晶",1500,1457.61590254934,,0,,0,
111040013,11,1,4,0,13,,1,13,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040013,UITexture/Bldg/111040013.png,"ACDtl",2,2,3,,104,130,1,3,0,,13,,45779,45779.2673684211,4,,220000105,"5级原石",16000,15790.8389442845,,220000205,"5级金属",7100,7105.87752492804,,220000305,"5级气体",3200,3158.16778885691,,220000405,"5级水晶",790,789.541947214227,,0,,0,
111040014,11,1,4,0,14,,1,14,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040014,UITexture/Bldg/111040014.png,"ACDtl",2,2,3,,104,140,1,3,0,,14,,50357,50357.1941052632,4,,220000105,"5级原石",22000,21712.4035483912,,220000205,"5级金属",9800,9770.58159677606,,220000305,"5级气体",4300,4342.48070967825,,220000405,"5级水晶",1100,1085.62017741956,,0,,0,
111040015,11,1,4,0,15,,1,15,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040015,UITexture/Bldg/111040015.png,"ACDtl",2,2,3,,104,150,1,3,0,,15,,55393,55392.9135157895,4,,220000105,"5级原石",30000,29854.554879038,,220000205,"5级金属",13000,13434.5496955671,,220000305,"5级气体",6000,5970.91097580759,,220000405,"5级水晶",1500,1492.7277439519,,0,,0,
111040016,11,1,4,0,16,,1,16,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040016,UITexture/Bldg/111040016.png,"ACDtl",2,2,3,,104,160,1,3,0,,16,,60932,60932.2048673684,4,,220000106,"6级原石",8600,8552.08603305775,,220000206,"6级金属",5100,5131.25161983465,,220000306,"6级气体",3400,3420.8344132231,,220000406,"6级水晶",1700,1710.41720661155,,0,,0,
111040017,11,1,4,0,17,,1,17,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040017,UITexture/Bldg/111040017.png,"ACDtl",2,2,3,,104,170,1,3,0,,17,,91398,91398.3073010527,4,,220000106,"6级原石",16000,16035.1613119833,,220000206,"6级金属",9600,9621.09678718997,,220000306,"6级气体",6400,6414.06452479331,,220000406,"6级水晶",3200,3207.03226239666,,0,,0,
111040018,11,1,4,0,18,,1,18,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040018,UITexture/Bldg/111040018.png,"ACDtl",2,2,3,,104,180,1,3,0,,18,,137097,137097.460951579,4,,220000106,"6级原石",30000,30065.9274599687,,220000206,"6级金属",18000,18039.5564759812,,220000306,"6级气体",12000,12026.3709839875,,220000406,"6级水晶",6000,6013.18549199373,,0,,0,
111040019,11,1,4,0,19,,1,19,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040019,UITexture/Bldg/111040019.png,"ACDtl",2,2,3,,104,190,1,3,0,,19,,164517,164516.953141895,4,,220000107,"7级原石",15000,15032.9637299843,,220000207,"7级金属",9000,9019.77823799059,,220000307,"7级气体",6000,6013.18549199373,,220000407,"7级水晶",3000,3006.59274599687,,0,,0,
111040020,11,1,4,0,20,,1,20,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040020,UITexture/Bldg/111040020.png,"ACDtl",2,2,3,,104,200,1,3,0,,20,,180969,180968.648456084,4,,220000107,"7级原石",21000,20670.3251287285,,220000207,"7级金属",12000,12402.1950772371,,220000307,"7级气体",8300,8268.13005149138,,220000407,"7级水晶",4100,4134.06502574569,,0,,0,
111040021,11,1,4,0,21,,1,21,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040021,UITexture/Bldg/111040021.png,"ACDtl",2,2,3,,104,210,1,3,0,,21,,195446,195446.140332571,4,,220000107,"7级原石",28000,27904.9389237834,,220000207,"7级金属",17000,16742.96335427,,220000307,"7级气体",11000,11161.9755695134,,220000407,"7级水晶",5600,5580.98778475668,,0,,0,
111040022,11,1,4,0,22,,1,22,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040022,UITexture/Bldg/111040022.png,"ACDtl",2,2,3,,104,220,1,3,0,,22,,209127,209127.370155851,4,,220000108,"8级原石",12000,12440.9519368534,,220000208,"8级金属",7500,7464.57116211206,,220000308,"8级气体",5000,4976.38077474137,,220000408,"8级水晶",2500,2488.19038737069,,0,,0,
111040023,11,1,4,0,23,,1,23,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040023,UITexture/Bldg/111040023.png,"ACDtl",2,2,3,,104,230,1,3,0,,23,,221675,221675.012365202,4,,220000108,"8级原石",16000,16484.2613163308,,220000208,"8级金属",9900,9890.55678979848,,220000308,"8级气体",6600,6593.70452653232,,220000408,"8级水晶",3300,3296.85226326616,,0,,0,
111040024,11,1,4,0,24,,1,24,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040024,UITexture/Bldg/111040024.png,"ACDtl",2,2,3,,104,240,1,3,0,,24,,232759,232758.762983462,4,,220000108,"8级原石",22000,21635.5929776842,,220000208,"8级金属",13000,12981.3557866105,,220000308,"8级气体",8700,8654.23719107367,,220000408,"8级水晶",4300,4327.11859553684,,0,,0,
111040025,11,1,4,0,25,,1,25,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040025,UITexture/Bldg/111040025.png,"ACDtl",2,2,3,,104,250,1,3,0,,25,,244397,244396.701132635,4,,220000109,"9级原石",9500,9465.57192773683,,220000209,"9级金属",5700,5679.3431566421,,220000309,"9级气体",3800,3786.22877109473,,220000409,"9级水晶",1900,1893.11438554737,,0,,0,
111040026,11,1,4,0,26,,1,26,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040026,UITexture/Bldg/111040026.png,"ACDtl",2,2,3,,104,260,1,3,0,,26,,254173,254172.569177941,4,,220000109,"9级原石",12000,11813.0337658156,,220000209,"9级金属",7100,7087.82025948934,,220000309,"9级气体",4700,4725.21350632622,,220000409,"9级水晶",2400,2362.60675316311,,0,,0,
111040027,11,1,4,0,27,,1,27,,"BuildingAttribute","AC","组装厂",0,12,"zuzhuangchang","UITexture/Bldg/",111040027,UITexture/Bldg/111040027.png,"ACDtl",2,2,3,,104,270,1,3,0,,27,,264339,264339.471945058,4,,220000109,"9级原石",15000,14742.6661397378,,220000209,"9级金属",8800,8845.59968384269,,220000309,"9级气体",5900,5897.06645589513,,220000409,"9级水晶",2900,2948.53322794756,,0,,0,
