"required",,,,,,,,,"optional",,"optional","optional",,,"optional","optional",,,"optional","optional","optional",,,,"repeated","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional",,"optional","repeated","optional","optional","optional",,"optional",,,,,"optional","optional","repeated","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional"
321030111,32,1,3,1,11,,1,103,11,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",1,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",210,,,,,,,,,,0,0,,,,,660,,,11,,1100,110,0,,0,,,,,,,,,,,,,,,,,,
321030112,32,1,3,1,12,,1,103,12,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",1,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",220,,,,,,,,,,0,0,,,,,720,,,12,,1200,120,0,,0,,,,,,,,,,,,,,,,,,
321030113,32,1,3,1,13,,1,103,13,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",230,,,,,,,,,,0,0,,,,,780,,,13,,1300,130,0,,0,,,,,,,,,,,,,,,,,,
321030114,32,1,3,1,14,,1,103,14,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",240,,,,,,,,,,0,0,,,,,840,,,14,,1400,140,0,,0,,,,,,,,,,,,,,,,,,
321030115,32,1,3,1,15,,1,103,15,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",300,,,,,,,,,,15,0,,,,,900,,,15,,1500,150,0,,0,,,,,,,,,,,,,,,,,,
321030116,32,1,3,1,16,,1,103,16,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",310,,,,,,,,,,0,0,,,,,960,,,16,,1600,160,0,,0,,,,,,,,,,,,,,,,,,
321030117,32,1,3,1,17,,1,103,17,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",320,,,,,,,,,,0,0,,,,,1020,,,17,,1700,170,0,,0,,,,,,,,,,,,,,,,,,
321030118,32,1,3,1,18,,1,103,18,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",330,,,,,,,,,,0,0,,,,,1080,,,18,,1800,180,0,,0,,,,,,,,,,,,,,,,,,
321030119,32,1,3,1,19,,1,103,19,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",340,,,,,,,,,,0,0,,,,,1140,,,19,,1900,190,0,,0,,,,,,,,,,,,,,,,,,
321030120,32,1,3,1,20,,1,103,20,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",400,,,,,,,,,,20,0,,,,,1200,,,20,,2000,200,0,,0,,,,,,,,,,,,,,,,,,
321030121,32,1,3,1,21,,1,103,21,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",410,,,,,,,,,,0,0,,,,,1260,,,21,,2100,210,0,,0,,,,,,,,,,,,,,,,,,
321030122,32,1,3,1,22,,1,103,22,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",420,,,,,,,,,,0,0,,,,,1320,,,22,,2200,220,0,,0,,,,,,,,,,,,,,,,,,
321030123,32,1,3,1,23,,1,103,23,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",430,,,,,,,,,,0,0,,,,,1380,,,23,,2300,230,0,,0,,,,,,,,,,,,,,,,,,
321030124,32,1,3,1,24,,1,103,24,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",440,,,,,,,,,,0,0,,,,,1440,,,24,,2400,240,0,,0,,,,,,,,,,,,,,,,,,
321030125,32,1,3,1,25,,1,103,25,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",500,,,,,,,,,,24,0,,,,,1500,,,25,,2500,250,0,,0,,,,,,,,,,,,,,,,,,
321030126,32,1,3,1,26,,1,103,26,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",510,,,,,,,,,,0,0,,,,,1560,,,26,,2600,260,0,,0,,,,,,,,,,,,,,,,,,
321030127,32,1,3,1,27,,1,103,27,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",520,,,,,,,,,,0,0,,,,,1620,,,27,,2700,270,0,,0,,,,,,,,,,,,,,,,,,
321030128,32,1,3,1,28,,1,103,28,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",530,,,,,,,,,,0,0,,,,,1680,,,28,,2800,280,0,,0,,,,,,,,,,,,,,,,,,
321030129,32,1,3,1,29,,1,103,29,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",540,,,,,,,,,,0,0,,,,,1740,,,29,,2900,290,0,,0,,,,,,,,,,,,,,,,,,
321030130,32,1,3,1,30,,1,103,30,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",0,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",600,,,,,,,,,,29,0,,,,,1800,,,30,,3000,300,0,,0,,,,,,,,,,,,,,,,,,
321030201,32,1,3,2,1,,1,103,1,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",1,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",1,,,,,,,,,,2,0,,,,,60,,,1,,100,10,0,,0,,,,,,,,,,,,,,,,,,
321030202,32,1,3,2,2,,1,103,2,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",1,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",2,,,,,,,,,,0,0,,,,,120,,,2,,200,20,0,,0,,,,,,,,,,,,,,,,,,
321030203,32,1,3,2,3,,1,103,3,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",1,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",3,,,,,,,,,,0,0,,,,,180,,,3,,300,30,0,,0,,,,,,,,,,,,,,,,,,
321030204,32,1,3,2,4,,1,103,4,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",1,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",4,,,,,,,,,,0,0,,,,,240,,,4,,400,40,0,,0,,,,,,,,,,,,,,,,,,
321030205,32,1,3,2,5,,1,103,5,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",1,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",5,,,,,,,,,,6,0,,,,,300,,,5,,500,50,0,,0,,,,,,,,,,,,,,,,,,
321030206,32,1,3,2,6,,1,103,6,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",1,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",6,,,,,,,,,,0,0,,,,,360,,,6,,600,60,0,,0,,,,,,,,,,,,,,,,,,
321030207,32,1,3,2,7,,1,103,7,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",1,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",7,,,,,,,,,,0,0,,,,,420,,,7,,700,70,0,,0,,,,,,,,,,,,,,,,,,
321030208,32,1,3,2,8,,1,103,8,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",1,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",8,,,,,,,,,,0,0,,,,,480,,,8,,800,80,0,,0,,,,,,,,,,,,,,,,,,
321030209,32,1,3,2,9,,1,103,9,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",1,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",9,,,,,,,,,,0,0,,,,,540,,,9,,900,90,0,,0,,,,,,,,,,,,,,,,,,
321030210,32,1,3,2,10,,1,103,10,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",1,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",10,,,,,,,,,,11,0,,,,,600,,,10,,1000,100,0,,0,,,,,,,,,,,,,,,,,,
321030211,32,1,3,2,11,,1,103,11,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",1,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",11,,,,,,,,,,0,0,,,,,660,,,11,,1100,110,0,,0,,,,,,,,,,,,,,,,,,
321030212,32,1,3,2,12,,1,103,12,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",1,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",12,,,,,,,,,,0,0,,,,,720,,,12,,1200,120,0,,0,,,,,,,,,,,,,,,,,,
321030213,32,1,3,2,13,,1,103,13,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",13,,,,,,,,,,0,0,,,,,780,,,13,,1300,130,0,,0,,,,,,,,,,,,,,,,,,
321030214,32,1,3,2,14,,1,103,14,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",14,,,,,,,,,,0,0,,,,,840,,,14,,1400,140,0,,0,,,,,,,,,,,,,,,,,,
321030215,32,1,3,2,15,,1,103,15,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",15,,,,,,,,,,15,0,,,,,900,,,15,,1500,150,0,,0,,,,,,,,,,,,,,,,,,
321030216,32,1,3,2,16,,1,103,16,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",16,,,,,,,,,,0,0,,,,,960,,,16,,1600,160,0,,0,,,,,,,,,,,,,,,,,,
321030217,32,1,3,2,17,,1,103,17,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",17,,,,,,,,,,0,0,,,,,1020,,,17,,1700,170,0,,0,,,,,,,,,,,,,,,,,,
321030218,32,1,3,2,18,,1,103,18,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",18,,,,,,,,,,0,0,,,,,1080,,,18,,1800,180,0,,0,,,,,,,,,,,,,,,,,,
321030219,32,1,3,2,19,,1,103,19,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",19,,,,,,,,,,0,0,,,,,1140,,,19,,1900,190,0,,0,,,,,,,,,,,,,,,,,,
321030220,32,1,3,2,20,,1,103,20,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",20,,,,,,,,,,20,0,,,,,1200,,,20,,2000,200,0,,0,,,,,,,,,,,,,,,,,,
321030221,32,1,3,2,21,,1,103,21,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",21,,,,,,,,,,0,0,,,,,1260,,,21,,2100,210,0,,0,,,,,,,,,,,,,,,,,,
321030222,32,1,3,2,22,,1,103,22,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",22,,,,,,,,,,0,0,,,,,1320,,,22,,2200,220,0,,0,,,,,,,,,,,,,,,,,,
321030223,32,1,3,2,23,,1,103,23,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",23,,,,,,,,,,0,0,,,,,1380,,,23,,2300,230,0,,0,,,,,,,,,,,,,,,,,,
321030224,32,1,3,2,24,,1,103,24,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",24,,,,,,,,,,0,0,,,,,1440,,,24,,2400,240,0,,0,,,,,,,,,,,,,,,,,,
321030225,32,1,3,2,25,,1,103,25,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",25,,,,,,,,,,24,0,,,,,1500,,,25,,2500,250,0,,0,,,,,,,,,,,,,,,,,,
321030226,32,1,3,2,26,,1,103,26,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",26,,,,,,,,,,0,0,,,,,1560,,,26,,2600,260,0,,0,,,,,,,,,,,,,,,,,,
321030227,32,1,3,2,27,,1,103,27,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",27,,,,,,,,,,0,0,,,,,1620,,,27,,2700,270,0,,0,,,,,,,,,,,,,,,,,,
321030228,32,1,3,2,28,,1,103,28,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",28,,,,,,,,,,0,0,,,,,1680,,,28,,2800,280,0,,0,,,,,,,,,,,,,,,,,,
321030229,32,1,3,2,29,,1,103,29,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",29,,,,,,,,,,0,0,,,,,1740,,,29,,2900,290,0,,0,,,,,,,,,,,,,,,,,,
321030230,32,1,3,2,30,,1,103,30,,"SkillTree","STName3210302","舰体厂","舰体领取容量科技",0,12,"UITexture/TechProd/",321030201,UITexture/TechProd/321030201.png,"STProperty3210302",0,,,,1,,121030002,"舰体领取容量",30,,,,,,,,,,29,0,,,,,1800,,,30,,3000,300,0,,0,,,,,,,,,,,,,,,,,,
321040101,32,1,4,1,1,,1,104,1,,,,"组装厂","装配中心",0,12,"UITexture/TechProd/",321040101,UITexture/TechProd/321040101.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,100,1,0,,0,,,,,,,,,,,,,,,,,,
321040102,32,1,4,1,2,,1,104,2,,,,"组装厂","装配中心",0,12,"UITexture/TechProd/",321040102,UITexture/TechProd/321040102.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,100,1,0,,0,,,,,,,,,,,,,,,,,,
321040103,32,1,4,1,3,,1,104,3,,,,"组装厂","装配中心",0,12,"UITexture/TechProd/",321040103,UITexture/TechProd/321040103.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,100,1,0,,0,,,,,,,,,,,,,,,,,,
321040104,32,1,4,1,4,,1,104,4,,,,"组装厂","装配中心",0,12,"UITexture/TechProd/",321040104,UITexture/TechProd/321040104.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,100,1,0,,0,,,,,,,,,,,,,,,,,,
321040105,32,1,4,1,5,,1,104,5,,,,"组装厂","装配中心",0,12,"UITexture/TechProd/",321040105,UITexture/TechProd/321040105.png,,0,,,,0,,0,,,,,,,,,,,,0,0,,,,,3,,,,3,100,1,0,,0,,,,,,,,,,,,,,,,,,
321050101,32,1,5,1,1,,1,105,1,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",1,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",2006,2,6,,1,,121050001,"配件生产速度系数",10,,,,,,,,,,3,0,,,,,60,,,1,,100,10,0,,0,,,,,,,,,,,,,,,,,,
321050102,32,1,5,1,2,,1,105,2,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",1,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",20,,,,,,,,,,0,0,,,,,120,,,2,,200,20,0,,0,,,,,,,,,,,,,,,,,,
321050103,32,1,5,1,3,,1,105,3,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",1,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",30,,,,,,,,,,0,0,,,,,180,,,3,,300,30,0,,0,,,,,,,,,,,,,,,,,,
321050104,32,1,5,1,4,,1,105,4,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",1,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",40,,,,,,,,,,0,0,,,,,240,,,4,,400,40,0,,0,,,,,,,,,,,,,,,,,,
321050105,32,1,5,1,5,,1,105,5,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",1,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",100,,,,,,,,,,8,0,,,,,300,,,5,,500,50,0,,0,,,,,,,,,,,,,,,,,,
321050106,32,1,5,1,6,,1,105,6,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",1,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",110,,,,,,,,,,0,0,,,,,360,,,6,,600,60,0,,0,,,,,,,,,,,,,,,,,,
321050107,32,1,5,1,7,,1,105,7,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",1,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",120,,,,,,,,,,0,0,,,,,420,,,7,,700,70,0,,0,,,,,,,,,,,,,,,,,,
321050108,32,1,5,1,8,,1,105,8,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",1,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",130,,,,,,,,,,0,0,,,,,480,,,8,,800,80,0,,0,,,,,,,,,,,,,,,,,,
321050109,32,1,5,1,9,,1,105,9,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",1,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",140,,,,,,,,,,0,0,,,,,540,,,9,,900,90,0,,0,,,,,,,,,,,,,,,,,,
321050110,32,1,5,1,10,,1,105,10,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",1,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",200,,,,,,,,,,12,0,,,,,600,,,10,,1000,100,0,,0,,,,,,,,,,,,,,,,,,
321050111,32,1,5,1,11,,1,105,11,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",1,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",210,,,,,,,,,,0,0,,,,,660,,,11,,1100,110,0,,0,,,,,,,,,,,,,,,,,,
321050112,32,1,5,1,12,,1,105,12,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",1,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",220,,,,,,,,,,0,0,,,,,720,,,12,,1200,120,0,,0,,,,,,,,,,,,,,,,,,
321050113,32,1,5,1,13,,1,105,13,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",230,,,,,,,,,,0,0,,,,,780,,,13,,1300,130,0,,0,,,,,,,,,,,,,,,,,,
321050114,32,1,5,1,14,,1,105,14,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",240,,,,,,,,,,0,0,,,,,840,,,14,,1400,140,0,,0,,,,,,,,,,,,,,,,,,
321050115,32,1,5,1,15,,1,105,15,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",300,,,,,,,,,,17,0,,,,,900,,,15,,1500,150,0,,0,,,,,,,,,,,,,,,,,,
321050116,32,1,5,1,16,,1,105,16,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",310,,,,,,,,,,0,0,,,,,960,,,16,,1600,160,0,,0,,,,,,,,,,,,,,,,,,
321050117,32,1,5,1,17,,1,105,17,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",320,,,,,,,,,,0,0,,,,,1020,,,17,,1700,170,0,,0,,,,,,,,,,,,,,,,,,
321050118,32,1,5,1,18,,1,105,18,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",330,,,,,,,,,,0,0,,,,,1080,,,18,,1800,180,0,,0,,,,,,,,,,,,,,,,,,
321050119,32,1,5,1,19,,1,105,19,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",340,,,,,,,,,,0,0,,,,,1140,,,19,,1900,190,0,,0,,,,,,,,,,,,,,,,,,
321050120,32,1,5,1,20,,1,105,20,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",400,,,,,,,,,,21,0,,,,,1200,,,20,,2000,200,0,,0,,,,,,,,,,,,,,,,,,
321050121,32,1,5,1,21,,1,105,21,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",410,,,,,,,,,,0,0,,,,,1260,,,21,,2100,210,0,,0,,,,,,,,,,,,,,,,,,
321050122,32,1,5,1,22,,1,105,22,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",420,,,,,,,,,,0,0,,,,,1320,,,22,,2200,220,0,,0,,,,,,,,,,,,,,,,,,
321050123,32,1,5,1,23,,1,105,23,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",430,,,,,,,,,,0,0,,,,,1380,,,23,,2300,230,0,,0,,,,,,,,,,,,,,,,,,
321050124,32,1,5,1,24,,1,105,24,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",440,,,,,,,,,,0,0,,,,,1440,,,24,,2400,240,0,,0,,,,,,,,,,,,,,,,,,
321050125,32,1,5,1,25,,1,105,25,,"SkillTree","STName3210501","配件厂","配件生产速度系数科技",0,12,"UITexture/TechProd/",321050101,UITexture/TechProd/321050101.png,"STProperty3210501",0,,,,1,,121050001,"配件生产速度系数",500,,,,,,,,,,26,0,,,,,1500,,,25,,2500,250,0,,0,,,,,,,,,,,,,,,,,,
